null,209,-100,-608,994,-371,-536,850,-967,-781,541,-701,948,-755,920,-255,-552,null,-619,276,-343,877,523,-594,633,-564,913,-136,-997,-707,684,-913,293,83,null,-431,null,-249,-622,539,-902,null,-362,602,-980,97,-901,957,null,968,588,-813,115,-930
null,407,535,-437,-349,-87,-936,-146,-520,-691,353,197,653,984,-914,579,-922,-132,40,198,552,465,846,145,-442,-298,864,493,557,-50,537,null,693,-921,null,-643,414,-238,null,-136,-73,957,470,-974,916,887,486,-819,-196,983,-491,70,331,-980
719,-487,-690,null,443,468,-828,487,-951,800,-360,936,499,961,-161,-899,-41,-30,-57,-829,null,-233,-879,129,-823,730,-820,526,588,-513,-708,-420,-722,-331,null,570,25,-174,null,-97,-713,-724,null,873,230,-972,-610,124,53,804,-623,252,788,-138
978,201,-64,582,-33,-678,-938,-498,537,80,-264,-608,-544,634,932,263,-504,-956,870,-136,null,488,916,-930,519,-681,319,88,199,341,-366,847,-442,844,null,131,null,617,null,71,-624,null,null,-640,879,131,35,393,-554,-135,613,729,-278,742
null,-677,682,null,914,217,-437,-34,-231,-286,757,-382,991,773,-110,689,-848,null,135,554,null,849,-419,-967,-32,323,58,-47,-530,472,-729,725,631,-69,null,-846,null,802,null,149,528,null,null,254,128,-518,-56,734,null,245,747,-254,417,805
null,-343,-26,852,677,-256,-652,302,-437,-839,438,-171,-407,205,583,null,-823,371,327,488,927,-8,-846,-819,-517,-32,87,30,143,-475,17,-949,-657,-883,269,-763,null,77,null,13,-83,-223,-805,-85,271,594,-477,-619,null,603,-69,480,294,213
726,-582,-961,-21,418,-640,869,196,-740,-830,-865,-697,290,-73,-715,-928,-929,844,-503,-639,null,-556,-414,-959,-342,576,672,264,409,-27,-432,-122,970,238,null,738,724,-575,-569,179,-166,-481,135,-537,496,192,-306,671,null,451,512,981,757,914
null,589,-688,210,-582,583,-834,-724,103,-587,303,-962,-943,149,288,null,221,null,-689,-723,326,-139,421,-397,470,93,-436,-138,716,-55,547,null,383,-74,60,-928,null,-296,263,-114,538,438,740,-817,-451,729,-885,-458,-615,155,957,-437,-981,-11
316,-153,78,null,65,984,-109,531,732,-472,-625,-836,-405,362,358,-281,26,null,-534,-324,571,895,611,119,-227,-70,-733,-507,134,424,959,239,-666,-968,null,-32,null,783,-354,894,-527,null,-635,-356,-672,-43,896,398,null,-29,202,200,-413,400
null,591,948,null,554,-633,-775,-228,850,850,731,-23,851,328,-913,null,-735,null,-9,48,50,722,953,-313,-654,-426,-841,546,856,869,-154,-415,521,-376,null,274,null,-841,-793,-312,-86,null,null,-22,957,966,665,-291,921,-4,-67,-627,779,-91
136,728,-698,298,913,-402,440,66,65,-143,841,-861,-74,-504,786,null,-642,-655,62,168,-220,-924,795,-680,803,902,-628,149,243,-469,783,null,-449,157,493,-602,null,292,102,355,584,580,null,-371,668,-937,800,-328,null,-864,-237,-86,-596,369
null,421,61,0,481,-862,-551,-168,465,-647,607,333,223,478,710,-768,-33,470,592,385,null,507,-110,-115,-3,-976,-552,524,381,-964,269,746,-404,888,null,429,null,536,423,-425,316,null,815,512,884,993,368,816,-234,-93,-371,225,-257,496
null,-591,-500,-611,720,808,-345,235,-658,348,-243,955,-779,-701,-456,null,324,null,-33,-528,-977,991,17,-239,-223,-467,-279,-500,526,-286,340,265,366,331,null,784,null,12,null,845,682,-573,null,-379,-871,-599,-940,587,null,419,835,596,-918,186
-360,-545,669,-970,-427,-761,312,-736,-810,646,-780,-134,-424,-448,-802,-745,-454,25,-412,-594,-836,-663,318,-783,-393,-229,935,-414,338,-577,-673,206,-105,-790,null,-748,296,-694,-793,-261,-243,null,null,41,458,-984,-812,-319,null,955,-103,222,311,569
-745,-153,-541,null,538,-696,616,-832,133,-624,-648,-810,731,-63,-827,833,730,-347,-998,873,null,264,-887,-761,804,592,341,821,-926,-888,-209,-353,-876,-544,null,-692,664,661,-433,982,504,null,998,687,492,926,242,106,null,-743,-6,666,-535,-913
-671,-703,566,-854,367,65,-679,-48,874,-777,-951,-366,588,853,-264,null,563,null,38,-65,-126,-548,-516,-6,482,-573,525,948,-969,-336,-308,null,828,-418,154,816,-164,602,null,-885,-231,-339,-824,326,485,-477,343,-391,null,439,371,975,539,-55
null,1,433,647,75,-258,926,71,528,-586,862,-720,-489,-216,-807,-756,284,null,369,206,-382,-89,787,-877,828,845,-312,224,-394,-728,468,170,-661,-442,null,163,-373,834,null,254,822,null,135,171,720,-302,-462,691,786,-270,-572,-495,-443,680
null,98,571,null,499,216,-88,-965,-84,-32,-40,74,78,-915,752,-107,576,null,382,968,null,-895,289,-109,646,484,-180,-737,-177,-50,-344,null,138,-901,4,944,null,167,769,-126,-362,null,-837,-984,67,-288,-407,500,421,-566,325,-820,-45,88
598,222,937,166,792,769,-799,430,550,175,123,218,-930,-53,-281,null,440,-997,128,101,-762,-984,-496,114,-792,-206,-467,-228,-438,667,-16,null,-924,237,null,499,-942,524,758,-236,-967,531,-729,201,-381,601,598,-940,-46,-766,-305,-658,-658,-830
null,-913,-337,null,637,-576,-695,828,727,-578,-557,-386,-282,-62,50,null,499,451,-706,-12,null,-685,-336,-666,773,-90,858,482,-788,660,-769,-706,-252,-971,-115,-686,-944,-271,null,552,861,633,null,-14,560,248,564,841,199,778,-462,900,47,415
null,-660,-770,null,641,778,-383,140,826,-270,329,-500,-134,-287,-716,null,344,-419,-221,39,-674,-987,132,-130,-218,562,946,265,-359,-233,-470,797,55,-155,-914,-991,-284,-994,361,-405,-294,null,null,-726,193,552,-435,189,null,469,719,-445,114,617
null,369,644,null,115,-618,-511,-837,-443,521,-449,905,-673,-810,-129,-831,828,-571,458,712,null,-87,252,550,-132,-341,-618,187,593,-859,-441,262,195,249,19,291,371,25,-27,286,316,null,758,-129,246,865,-498,772,854,-747,-423,-542,-502,-892
-479,-241,-495,228,-968,452,-556,-680,999,-363,998,719,-12,179,783,51,296,null,-531,-462,null,-186,-58,-687,-209,-810,419,614,779,-446,-868,-708,-421,652,null,261,null,260,500,868,455,136,null,-679,-29,-969,-682,-523,null,565,297,-675,412,494
null,-821,409,null,-432,605,10,-455,-387,-758,986,845,889,908,-951,null,-59,null,-348,433,null,-124,801,-575,706,-432,312,282,-989,-242,-20,null,54,418,null,-601,-531,-200,null,-391,-256,-80,491,129,25,-275,776,198,-284,-145,329,-114,352,-106
null,0,42,117,-304,376,-140,246,-965,-550,191,-473,931,334,-180,783,-351,689,-565,203,774,372,-16,113,-334,352,835,122,32,-850,-851,327,529,-613,null,721,-925,-467,483,-165,339,null,null,352,24,916,-907,464,null,-913,-164,-805,968,155
-937,-321,124,null,-999,820,180,-216,-296,-237,597,191,-741,-900,-890,null,-158,null,775,-799,null,-128,214,-838,403,-594,-822,-462,95,-398,489,85,-752,998,-884,523,null,-814,null,-817,153,null,309,-279,817,-252,-742,265,null,325,151,-117,932,-143
null,900,511,139,-339,-92,-498,78,427,340,901,332,-809,668,-584,null,-46,null,66,346,-449,-323,-770,111,4,928,552,643,-854,-238,859,215,-212,771,null,-275,391,-758,-67,185,507,null,null,-65,539,197,-946,-861,399,-354,-554,-587,61,589
null,-200,-213,533,132,-443,136,872,-895,578,296,-677,-454,566,-356,null,344,867,366,148,null,-362,844,-91,-966,165,-427,-686,483,-976,255,null,138,-350,-926,710,49,-468,429,-490,372,null,-105,773,543,-34,-795,876,-818,-779,122,891,663,451
-555,361,137,675,604,79,-248,62,417,473,-316,602,-237,942,-43,-819,545,null,633,463,961,246,532,111,-85,-309,387,824,105,629,-997,null,-899,58,310,558,null,-404,-421,-767,-188,161,923,907,-105,-765,7,-976,-336,760,432,-111,965,-416
-134,-799,-882,null,880,-814,-1000,-657,895,-664,-368,149,-141,-48,-137,-44,-757,null,534,-241,-460,181,34,-585,976,674,-539,-443,-981,533,327,-158,-526,-994,null,-681,145,-64,null,-729,675,null,955,351,500,346,-602,308,-753,-75,-356,694,48,-766
994,-275,-894,null,-165,745,-508,-228,971,670,370,480,-126,288,-538,null,-167,null,-972,-663,-474,415,-500,-642,194,166,-277,-745,258,-854,297,-888,-762,-915,297,-229,null,-676,-2,-641,-795,-80,817,919,-577,-211,261,671,-857,-661,232,-464,-666,186
960,-956,654,null,124,-940,734,-280,455,602,404,908,-56,14,482,null,-370,null,-748,814,362,617,890,195,640,434,778,445,-240,98,-261,null,887,-157,null,122,-593,-806,null,874,198,308,null,853,767,160,-722,674,-58,45,-209,990,876,44
480,975,605,null,851,-928,-697,-125,711,-850,-460,478,-574,434,-960,-592,842,-509,-948,766,null,-351,-480,-185,-415,-981,-21,-456,3,-696,824,-66,-543,210,738,810,623,-11,587,876,-191,599,-292,228,-839,855,2,-978,null,-524,110,868,410,315
-511,-400,581,-259,635,-541,754,-764,262,-238,-933,-999,-783,-33,490,null,-799,null,194,564,644,87,-246,-463,383,529,-709,-834,234,-331,-605,-193,999,-745,null,-249,278,-834,-799,673,681,574,387,233,-343,-634,192,822,null,-552,141,833,911,-673
null,754,682,54,-394,912,155,-676,-365,-420,947,522,-669,256,-955,null,-414,null,-408,855,89,-414,-651,-266,711,-432,-234,468,742,-192,-906,-865,567,833,null,717,692,282,null,725,708,null,null,-996,82,227,-994,180,-855,-447,404,-548,314,211
37,499,-644,-842,185,716,748,466,238,949,221,543,711,-31,-250,-313,-884,653,-362,655,null,506,-1000,897,305,951,-815,-810,-993,832,-556,-362,689,-291,null,-674,513,327,null,211,-313,-726,-752,404,-686,147,584,358,null,-742,400,182,773,478
659,425,-217,null,392,737,-229,275,-588,948,-952,503,380,-896,851,null,103,null,722,-672,-899,-943,278,178,-490,327,-96,-390,189,-50,57,-715,390,668,54,-758,null,982,-577,661,365,310,null,148,294,-882,-868,-138,null,182,747,832,997,967
null,-290,762,null,-757,-619,-666,525,-454,-81,51,307,35,301,-985,784,-967,null,350,299,null,-773,185,918,-937,-528,-803,-71,957,246,-50,null,642,118,null,-130,662,340,217,952,-615,192,null,835,319,-309,8,904,452,340,821,565,211,243
null,-473,935,null,-791,745,-493,236,-940,-436,-134,772,36,-353,832,823,-870,-125,-234,-475,-364,872,463,224,689,887,-559,-369,-186,-911,-853,-722,-847,500,337,-83,414,864,null,408,197,977,null,764,-688,830,-611,228,null,661,-938,740,-211,857
null,281,-246,-624,-244,870,-7,528,616,927,734,-602,49,-165,120,-115,-153,null,-574,-46,null,350,26,-936,55,702,-188,819,-779,-68,343,null,379,545,null,-561,null,505,null,501,-468,-544,313,-179,242,301,546,437,-402,-278,541,-665,10,-142
null,617,-12,-589,577,-109,-567,-472,-522,-917,-1000,-203,453,910,-899,null,-488,667,438,467,-176,-733,807,-763,611,61,-107,-694,129,-270,404,null,915,-790,536,89,null,663,null,-313,-183,null,925,252,645,721,-886,-207,null,169,-330,733,-891,948
null,481,916,null,662,-487,714,258,-197,943,-706,712,-273,-325,-626,null,-501,null,-982,-900,-421,576,-594,748,-791,505,807,294,875,-103,-790,-208,254,413,null,438,null,-51,null,-36,390,null,-432,11,-566,392,256,-115,null,573,936,-491,340,471
null,933,-4,null,-833,379,-370,-173,788,980,513,-193,-435,875,-751,null,-757,null,221,933,22,587,-356,-625,596,-398,-21,-510,-242,391,-100,255,-398,-631,278,829,-935,963,-794,768,600,-882,null,651,466,-781,568,-189,null,403,-618,-962,985,-878
null,626,692,null,-692,535,-186,-766,546,-128,620,221,-289,107,-232,636,-85,null,-643,-180,-617,683,113,742,541,861,-728,-642,142,-911,807,-887,-746,1,null,461,805,-716,378,69,-170,null,812,-161,908,-404,-319,-896,null,100,-300,-842,599,-817
-761,862,915,null,122,-991,-205,985,428,-607,-837,-643,-666,-244,78,500,-535,17,-809,-931,-624,799,-209,-293,-680,-792,970,820,-728,904,-363,225,-845,-382,null,-992,663,-743,-762,272,884,null,-524,137,-269,730,-768,-133,544,-63,736,-475,-661,-93
null,611,-243,-463,-667,965,426,884,827,-496,-736,-851,896,-341,-324,null,-27,-707,-764,-295,null,-68,174,365,653,764,-402,966,-661,961,-912,null,824,296,null,-839,null,145,null,698,-868,null,-111,-262,871,782,538,-848,null,502,-78,-824,-492,-324
229,168,-831,-714,728,993,134,-652,35,632,138,857,-440,-415,-204,null,932,2,-335,630,-737,-545,675,277,787,670,-216,30,966,-111,-968,654,787,586,602,-14,null,245,null,889,314,-452,null,-311,297,751,382,-382,-715,-442,608,397,-822,883
null,463,-462,-595,-706,-845,-58,867,315,846,-375,-854,836,662,745,587,-373,null,-828,664,null,428,511,-826,-652,424,491,-165,-114,-909,-19,null,-890,-142,233,893,null,-450,null,704,-642,707,544,-889,156,854,-600,-49,null,474,44,819,581,-753
-716,701,798,null,-230,31,698,949,-139,-521,104,984,205,-886,-318,null,-583,565,320,-533,null,652,246,-324,855,-806,652,-287,-303,478,270,null,-151,-638,861,-37,205,-724,null,-9,-577,null,605,466,-89,138,-484,818,344,-736,-165,-952,-979,-807
null,273,131,-400,602,-107,468,761,-288,492,459,-184,-117,62,-494,null,-284,-155,-869,604,-582,549,-806,656,-737,48,509,-317,-892,-346,-921,99,174,-496,142,465,null,800,null,-782,-729,165,90,952,-730,-751,-424,-134,-277,351,-852,-933,-329,410
null,-579,-977,null,615,301,-465,418,-727,-80,-618,263,220,603,-868,-786,-524,null,847,366,null,784,205,765,385,359,980,-422,-160,-356,-813,-870,-483,-959,null,312,-953,-481,null,-798,-203,-242,407,-672,-209,557,-755,798,-821,-360,897,509,208,162
192,-746,-876,null,361,-716,-522,446,394,959,777,-879,-897,349,59,null,742,null,-925,-305,null,301,266,-702,-925,555,820,175,981,-627,-82,null,663,-309,325,221,116,55,null,-338,-135,null,703,-528,-658,-9,343,-257,-497,-365,426,747,105,707
11,232,-440,709,540,154,92,564,213,-620,729,293,914,513,-895,null,417,315,832,428,-834,366,-981,-909,-261,-305,987,865,-227,-302,-628,475,-353,-307,-177,313,null,68,595,471,105,167,null,-267,-138,-282,-733,637,635,-133,-878,-82,397,-507
null,-757,-781,null,-561,292,-937,287,377,-414,870,789,168,87,-422,null,919,null,-215,919,797,773,-617,-539,-626,504,827,-139,-116,-210,36,null,-13,205,433,649,417,-883,null,652,92,-53,12,-923,-490,-724,305,-679,-527,328,561,726,704,724
